outcome,horizon,beta,se,lower95,upper95,n,spec_name,shock_column,shock_scale,response_type
interbank_transactions_bank_qoq,6,3.8167261090901086,6.930782142758985,-9.767606890717502,17.40105910889772,113,baseline,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
interbank_transactions_bank_qoq,7,6.997628854959611,8.063834429069889,-8.80748662601737,22.802744335936595,112,baseline,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
interbank_transactions_bank_qoq,8,20.418393025091618,10.197069428327055,0.43213694557059057,40.404649104612645,111,baseline,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
time_savings_deposits_bank_qoq,0,15.2413730715749,9.453348429668095,-3.287189850574565,33.76993599372437,119,baseline,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
time_savings_deposits_bank_qoq,1,24.736592829806256,18.153548622285346,-10.844362469873019,60.31754812948553,118,baseline,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
time_savings_deposits_bank_qoq,2,22.649182386952393,22.36138758029628,-21.179137270428317,66.47750204433311,117,baseline,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
time_savings_deposits_bank_qoq,3,10.42834832629331,19.403836028367927,-27.603170289307826,48.45986694189445,116,baseline,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
time_savings_deposits_bank_qoq,4,15.082853224592569,20.160356289406092,-24.431445102643373,54.59715155182851,115,baseline,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
time_savings_deposits_bank_qoq,5,1.354413276439253,20.013967010290465,-37.87296206373006,40.58178861660856,114,baseline,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
time_savings_deposits_bank_qoq,6,-13.861528711431355,20.759692509554984,-54.550526030159126,26.827468607296417,113,baseline,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
time_savings_deposits_bank_qoq,7,-21.60278040295696,24.530093090626682,-69.68176286058525,26.476202054671333,112,baseline,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
time_savings_deposits_bank_qoq,8,-17.908132816446823,25.83424999166197,-68.54326280010429,32.72699716721064,111,baseline,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
checkable_federal_govt_bank_qoq,0,-2.4911462125623633,0.8079645604645235,-4.0747567510728295,-0.9075356740518974,119,baseline,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
checkable_federal_govt_bank_qoq,1,-1.9563248725711384,0.9254572947108041,-3.770221170204314,-0.14242857493796257,118,baseline,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
checkable_federal_govt_bank_qoq,2,-0.43283942759308935,0.6657261482817189,-1.7376626782252584,0.8719838230390797,117,baseline,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
checkable_federal_govt_bank_qoq,3,0.052023249647398906,0.5449364967997242,-1.0160522840800605,1.1200987833748584,116,baseline,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
checkable_federal_govt_bank_qoq,4,-1.4174817920439429,0.7633140110143475,-2.913577253632064,0.07861366954417814,115,baseline,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
checkable_federal_govt_bank_qoq,5,-1.7727576008830925,0.9012739031160683,-3.5392544509905863,-0.0062607507755987335,114,baseline,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
checkable_federal_govt_bank_qoq,6,-0.4304408893802809,0.6921564787039011,-1.787067587639927,0.9261858088793651,113,baseline,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
checkable_federal_govt_bank_qoq,7,-0.307944496566606,0.6365905764722577,-1.5556620264522312,0.9397730333190191,112,baseline,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
checkable_federal_govt_bank_qoq,8,-2.372240166527308,0.9385923044621896,-4.2118810832732,-0.5325992497814165,111,baseline,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
checkable_state_local_bank_qoq,0,1.1498898165587401,0.47924817860620667,0.21056338649057504,2.089216246626905,119,baseline,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
checkable_state_local_bank_qoq,1,1.4911895402965878,0.7067596307179811,0.10594066408934477,2.876438416503831,118,baseline,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
checkable_state_local_bank_qoq,2,1.816713569483836,1.0140582550425976,-0.17084061039965515,3.8042677493673276,117,baseline,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
checkable_state_local_bank_qoq,3,2.6931816774982575,1.3817790797666492,-0.015105318844374604,5.40146867384089,116,baseline,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
checkable_state_local_bank_qoq,4,4.1651573373450415,1.8061004938933682,0.6252003693140398,7.705114305376043,115,baseline,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
checkable_state_local_bank_qoq,5,4.7899752224176195,2.5675330552874533,-0.2423895659457891,9.822340010781028,114,baseline,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
checkable_state_local_bank_qoq,6,4.209679290509568,3.080159535995731,-1.8274334000420644,10.2467919810612,113,baseline,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
checkable_state_local_bank_qoq,7,4.890689727128482,3.4958114989928823,-1.961100810897567,11.74248026515453,112,baseline,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
checkable_state_local_bank_qoq,8,5.822580045695368,3.6538251447134615,-1.3389172379430168,12.984077329333752,111,baseline,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
checkable_rest_of_world_bank_qoq,0,0.38759473406740835,0.3440159812522735,-0.2866765891870477,1.0618660573218643,119,baseline,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
checkable_rest_of_world_bank_qoq,1,-0.18732497789195796,0.5019039762693385,-1.1710567713798614,0.7964068155959454,118,baseline,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
checkable_rest_of_world_bank_qoq,2,0.30317213434395746,0.7520710234433468,-1.1708870716050022,1.7772313402929172,117,baseline,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
checkable_rest_of_world_bank_qoq,3,-0.09977981428572325,0.8051858273590375,-1.6779440359094369,1.4783844073379901,116,baseline,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
checkable_rest_of_world_bank_qoq,4,0.01867944063776039,0.931243735497383,-1.8065582809371104,1.8439171622126311,115,baseline,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
