sample_variant,sample_role,sample_filter,outcome,horizon,beta,se,lower95,upper95,n,spec_name,shock_column,shock_scale,response_type
all_usable_shocks,headline,all_usable_shocks,strict_loan_consumer_credit_qoq,2,-7.5959349612566305,3.732369718719466,-14.911379609946785,-0.28049031256647705,117,sample_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
all_usable_shocks,headline,all_usable_shocks,strict_loan_consumer_credit_qoq,3,-6.349775817981893,4.449132763548283,-15.070076034536527,2.3705243985727407,116,sample_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
all_usable_shocks,headline,all_usable_shocks,strict_loan_consumer_credit_qoq,4,-9.050428927665745,5.399794509873013,-19.63402616701685,1.53316831168536,115,sample_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
all_usable_shocks,headline,all_usable_shocks,strict_loan_consumer_credit_qoq,5,-7.4340687965255885,6.279277196055922,-19.741452100795193,4.873314507744018,114,sample_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
all_usable_shocks,headline,all_usable_shocks,strict_loan_consumer_credit_qoq,6,-7.023285146782763,6.125275003363749,-19.02882415337571,4.982253859810184,113,sample_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
all_usable_shocks,headline,all_usable_shocks,strict_loan_consumer_credit_qoq,7,-5.171787858973913,6.603574287591319,-18.114793462652898,7.771217744705073,112,sample_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
all_usable_shocks,headline,all_usable_shocks,strict_loan_consumer_credit_qoq,8,-7.191490548742362,6.382903732070525,-19.70198186360059,5.319000766115867,111,sample_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
all_usable_shocks,headline,all_usable_shocks,strict_loan_di_loans_nec_qoq,0,-3.0570197270342403,5.662204476086389,-14.154940500163562,8.040901046095083,119,sample_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
all_usable_shocks,headline,all_usable_shocks,strict_loan_di_loans_nec_qoq,1,-3.3807175717467874,7.944511148946434,-18.9519594236818,12.190524280188223,118,sample_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
all_usable_shocks,headline,all_usable_shocks,strict_loan_di_loans_nec_qoq,2,-11.45240611872982,7.99471939829949,-27.122056139396822,4.217243901937181,117,sample_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
all_usable_shocks,headline,all_usable_shocks,strict_loan_di_loans_nec_qoq,3,-7.906797941166435,8.541827491824296,-24.648779825142057,8.835183942809188,116,sample_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
all_usable_shocks,headline,all_usable_shocks,strict_loan_di_loans_nec_qoq,4,-12.188680634789879,9.823259937200394,-31.44227011170265,7.064908842122893,115,sample_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
