control_variant,control_role,control_columns,outcome,horizon,beta,se,lower95,upper95,n,spec_name,shock_column,shock_scale,response_type
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_bank_balance_sheet_qoq,2,-44.068909602057225,16.277255281798418,-75.97232995438212,-12.165489249732328,90,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_bank_balance_sheet_qoq,3,-28.696201360512823,21.2174749281419,-70.28245221967094,12.890049498645304,89,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_bank_balance_sheet_qoq,4,-41.06637675193981,21.88310419519333,-83.95726097451873,1.8245074706391122,88,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_bank_balance_sheet_qoq,5,-29.275603564577146,22.80351140630927,-73.9704859209433,15.419278791789019,87,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_bank_balance_sheet_qoq,6,-41.292265600710564,26.238901214151063,-92.72051198044664,10.135980779025516,86,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_bank_balance_sheet_qoq,7,-20.548957085978387,27.101423545204955,-73.6677472345801,32.569833062623324,85,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_bank_balance_sheet_qoq,8,-38.196772444276945,27.18612822503924,-91.48158376535386,15.088038876799963,84,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_public_liquidity_qoq,0,44.25298739106782,17.91758899461282,9.13451296162669,79.37146182050896,91,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_public_liquidity_qoq,1,34.098232376807246,31.36273244683265,-27.372723218984746,95.56918797259924,90,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_public_liquidity_qoq,2,35.34366518574228,45.83332372682406,-54.489649318832875,125.17697969031744,89,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_public_liquidity_qoq,3,16.925725274966688,42.5782015275016,-66.52754971893646,100.37900026886982,88,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_public_liquidity_qoq,4,19.84686499619064,33.39625665787548,-45.60979805324531,85.30352804562659,87,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_public_liquidity_qoq,5,20.006164852375193,28.160189363785044,-35.187806300643494,75.20013600539389,86,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_public_liquidity_qoq,6,50.93872292433582,28.57530886334513,-5.068882447820627,106.94632829649227,85,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_public_liquidity_qoq,7,55.402306258227824,33.18690774228389,-9.644032916648598,120.44864543310425,84,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_public_liquidity_qoq,8,67.44567080413596,36.39311140642386,-3.8848275524548086,138.77616916072674,83,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_external_flow_qoq,0,-88.48626992626153,24.393641008189945,-136.29780630231383,-40.67473355020923,92,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_external_flow_qoq,1,-84.7544712039797,45.59553745417894,-174.12172461417043,4.612782206211008,91,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_external_flow_qoq,2,-101.47610949143979,64.92078368087395,-228.72084550595275,25.768626523073166,90,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_external_flow_qoq,3,-60.29852322526166,63.80862503790051,-185.36342829954668,64.76638184902335,89,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_external_flow_qoq,4,-58.54164299528435,53.08002574199129,-162.57849344958728,45.49520745901859,88,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_external_flow_qoq,5,-96.88611367849758,54.84599652395963,-204.38426686545844,10.612039508463283,87,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_external_flow_qoq,6,-164.73074360286859,56.328906557221146,-275.135400455022,-54.32608675071515,86,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_external_flow_qoq,7,-175.60831401159953,65.27329727567086,-303.5439766719144,-47.67265135128466,85,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_external_flow_qoq,8,-183.95499745372663,70.34607208873,-321.8332987476374,-46.07669615981584,84,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_identity_total_qoq,0,-65.03773830060437,15.613096137202154,-95.6394067295206,-34.436069871688154,91,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_identity_total_qoq,1,-83.55130148086025,34.46337169373859,-151.09951000058788,-16.003092961132623,90,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_identity_total_qoq,2,-117.61410941792504,40.60364850329981,-197.19726048439264,-38.030958351457414,89,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_identity_total_qoq,3,-86.13835218668801,42.37189807801763,-169.18727241960255,-3.089431953773456,88,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_identity_total_qoq,4,-91.50872100732244,36.92114023157932,-163.8741558612179,-19.14328615342697,87,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_identity_total_qoq,5,-114.11981176791451,36.0920153662743,-184.86016188581215,-43.37946165001688,86,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_identity_total_qoq,6,-162.8226776457021,38.486620365526655,-238.25645356213434,-87.38890172926986,85,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_identity_total_qoq,7,-156.3215613708605,48.14349908066974,-250.6828195689732,-61.960303172747814,84,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_identity_total_qoq,8,-167.02611592089917,56.071301101274074,-276.92586607939637,-57.12636576240199,83,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_identity_gap_qoq,0,-0.641483087652235,0.922911243524295,-2.4503891249598535,1.1674229496553832,91,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_identity_gap_qoq,1,-2.56764787432439,1.6208877340336512,-5.744587833030346,0.6092920843815666,90,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_identity_gap_qoq,2,-3.6092931948144695,2.6671430786630363,-8.83689362899402,1.6183072393650813,89,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_identity_gap_qoq,3,-1.0294474489911591,2.7402328223436903,-6.400303780784792,4.341408882802473,88,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_identity_gap_qoq,4,-2.534574523609713,2.687431442485769,-7.80194015088182,2.732791103662394,87,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_identity_gap_qoq,5,-1.5779476572899658,3.465512090759047,-8.370351355177698,5.214456040597766,86,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_identity_gap_qoq,6,-1.930544175944168,3.805424194704382,-9.389175597564757,5.528087245676421,85,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
headline_lagged_macro,headline,lag_tdc_bank_only_qoq|lag_fedfunds|lag_unemployment|lag_inflation,accounting_identity_gap_qoq,7,-0.22732076952482094,4.83323557724488,-9.700462500924786,9.245820961875143,84,control_sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
