outcome,horizon,beta,se,lower95,upper95,n,spec_name,shock_column,shock_scale,response_type
strict_loan_di_loans_nec_qoq,4,-9.39031488156056,10.03485908443932,-29.058638687061627,10.278008923940508,64,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_loan_di_loans_nec_qoq,5,-5.926365217232238,9.224469859357784,-24.006326141573496,12.15359570710902,63,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_loan_di_loans_nec_qoq,6,-17.545796168179734,10.695990704304974,-38.50993794861748,3.418345612258012,62,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_loan_di_loans_nec_qoq,7,-10.033900498094162,10.684593258134024,-30.97570328403685,10.907902287848525,61,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_loan_di_loans_nec_qoq,8,-17.25786996993061,10.594077743799078,-38.0222623477768,3.5065224079155826,60,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_loan_other_advances_qoq,0,0.21516102692308578,0.1339037061144795,-0.04729023706129401,0.4776122909074656,68,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_loan_other_advances_qoq,1,0.26048789506103986,0.17760050379305112,-0.0876090923733403,0.6085848824954201,67,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_loan_other_advances_qoq,2,0.34875546562171306,0.17019624621404575,0.015170823042183368,0.6823401082012428,66,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_loan_other_advances_qoq,3,0.25131277609041525,0.1903555576879913,-0.1217841169780477,0.6244096691588782,65,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_loan_other_advances_qoq,4,0.11900051200720675,0.21530177316259574,-0.3029909633914809,0.5409919874058944,64,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_loan_other_advances_qoq,5,-0.04934919626259496,0.21062441206457622,-0.46217304390916436,0.3634746513839744,63,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_loan_other_advances_qoq,6,0.06728016302610507,0.21443648163625506,-0.35301534098095483,0.48757566703316496,62,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_loan_other_advances_qoq,7,0.06495701371677343,0.19288180338808372,-0.31309132092387065,0.4430053483574175,61,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_loan_other_advances_qoq,8,0.004839987163186843,0.21390409679197872,-0.4144120425490914,0.4240920168754651,60,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_non_treasury_agency_gse_qoq,0,6.603267673094061,3.8080339880284533,-0.8604789434417075,14.06701428962983,68,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_non_treasury_agency_gse_qoq,1,7.367787598262584,7.277366259242085,-6.895850269851902,21.63142546637707,67,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_non_treasury_agency_gse_qoq,2,10.02153219969023,12.186718127431481,-13.864435330075475,33.907499729455935,66,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_non_treasury_agency_gse_qoq,3,14.795273449731809,17.659570534064546,-19.8174847970347,49.40803169649832,65,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_non_treasury_agency_gse_qoq,4,23.39838592447497,24.757844472996183,-25.12698924259755,71.92376109154749,64,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_non_treasury_agency_gse_qoq,5,20.194287169728813,28.8492037400944,-36.35015216085621,76.73872650031383,63,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_non_treasury_agency_gse_qoq,6,19.409269471170994,31.154639017100884,-41.65382300234674,80.47236194468873,62,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_non_treasury_agency_gse_qoq,7,15.293301918756928,32.638158447601185,-48.67748863854139,79.26409247605525,61,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_non_treasury_agency_gse_qoq,8,16.76900472295646,33.9992623394745,-49.86954946241355,83.40755890832648,60,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_non_treasury_municipal_qoq,0,-0.07086637984878053,0.8109723418657935,-1.6603721699057357,1.5186394102081746,68,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_non_treasury_municipal_qoq,1,0.3760438258149297,1.2720091209760684,-2.1170940512981646,2.8691817029280235,67,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_non_treasury_municipal_qoq,2,0.37597493897975287,1.9278736201386166,-3.4026573564919356,4.154607234451442,66,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_non_treasury_municipal_qoq,3,1.2249005957885397,2.616467697162778,-3.903376090650505,6.353177282227584,65,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_non_treasury_municipal_qoq,4,1.6439553771463657,3.458177561335459,-5.134072643071134,8.421983397363865,64,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_non_treasury_municipal_qoq,5,2.275041943916243,4.011782217081734,-5.588051201563956,10.138135089396442,63,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_non_treasury_municipal_qoq,6,1.8253043675505074,4.5433281289141805,-7.079618765121286,10.730227500222302,62,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_non_treasury_municipal_qoq,7,2.3118064567874956,4.834394847146902,-7.163607443620432,11.787220357195423,61,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_non_treasury_municipal_qoq,8,1.7847959423615514,5.2749497757971,-8.554105618200763,12.123697502923866,60,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_non_treasury_corporate_foreign_bonds_qoq,0,4.905821709254981,2.9390305853783536,-0.8546782380865912,10.666321656596555,68,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_non_treasury_corporate_foreign_bonds_qoq,1,7.51704538797757,3.602286827085679,0.4565632068896388,14.5775275690655,67,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_non_treasury_corporate_foreign_bonds_qoq,2,13.054746135577965,4.37493659816131,4.479870403181797,21.62962186797413,66,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_non_treasury_corporate_foreign_bonds_qoq,3,11.149912340514224,4.707994594446273,1.9222429353995292,20.377581745628916,65,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_non_treasury_corporate_foreign_bonds_qoq,4,15.348781309978614,6.957732372129726,1.7116258606043502,28.985936759352878,64,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_non_treasury_corporate_foreign_bonds_qoq,5,16.735264594945154,7.437623811314827,2.1575219247680923,31.313007265122216,63,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_non_treasury_corporate_foreign_bonds_qoq,6,19.00123333277824,8.00440579042667,3.312597983541968,34.68986868201451,62,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_non_treasury_corporate_foreign_bonds_qoq,7,19.01271121197275,8.693355492497888,1.9737344466768896,36.051687977268614,61,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_non_treasury_corporate_foreign_bonds_qoq,8,23.72385005647987,9.854306935238538,4.409408463412333,43.0382916495474,60,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_non_treasury_securities_qoq,0,15.30465101167281,6.050671529441859,3.4453348139667668,27.163967209378853,68,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_non_treasury_securities_qoq,1,20.851274479627072,9.40121819163145,2.4248868240294286,39.277662135224716,67,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_non_treasury_securities_qoq,2,30.130579009554125,15.109289800637475,0.5163710003046766,59.74478701880358,66,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_non_treasury_securities_qoq,3,30.826679478587934,18.630054597388195,-5.688227532292927,67.3415864894688,65,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_non_treasury_securities_qoq,4,43.740795858104896,29.03941137689402,-13.176450440607383,100.65804215681717,64,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_non_treasury_securities_qoq,5,42.732784184681734,34.8011619086691,-25.477493156309706,110.94306152567317,63,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_non_treasury_securities_qoq,6,43.87848293363647,38.569036680729994,-31.71682896059432,119.47379482786727,62,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_non_treasury_securities_qoq,7,38.369152497154396,40.38412965878819,-40.78374163407046,117.52204662837926,61,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_non_treasury_securities_qoq,8,44.71846401566029,44.28293685418197,-42.076092218536374,131.51302024985694,60,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_di_loans_nec_private_domestic_borrower_qoq,0,1.8116428704396705,11.41477840511276,-20.561322803581337,24.184608544460676,68,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_di_loans_nec_private_domestic_borrower_qoq,1,3.183553498652188,15.57233516967752,-27.33822343391575,33.705330431220126,67,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_di_loans_nec_private_domestic_borrower_qoq,2,-13.108584579159725,14.327976974277098,-41.191419448742835,14.974250290423385,66,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_di_loans_nec_private_domestic_borrower_qoq,3,-10.503176286748332,9.675424095843118,-29.46700751460084,8.460654941104178,65,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_di_loans_nec_private_domestic_borrower_qoq,4,-13.088924455680957,11.362875676779849,-35.36016078216946,9.182311870807546,64,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_di_loans_nec_private_domestic_borrower_qoq,5,-10.25058036356609,10.2603893444925,-30.36094347877139,9.859782751639209,63,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_di_loans_nec_private_domestic_borrower_qoq,6,-22.55144174886075,11.74418321713527,-45.57004085444588,0.4671573567243783,62,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_di_loans_nec_private_domestic_borrower_qoq,7,-14.428446921145373,11.546471057212097,-37.05953019328108,8.202636350990336,61,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_di_loans_nec_private_domestic_borrower_qoq,8,-18.527697803634318,10.417209030001827,-38.945427502437894,1.8900318951692618,60,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_di_loans_nec_noncore_system_borrower_qoq,0,-1.3315857468437755,5.177131161147097,-11.478762822692085,8.815591329004535,68,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_di_loans_nec_noncore_system_borrower_qoq,1,-4.273636783988859,7.4352669283144905,-18.846759963485262,10.299486395507541,67,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_di_loans_nec_noncore_system_borrower_qoq,2,-6.132156956820563,8.679370083762002,-23.143722320994087,10.879408407352962,66,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_di_loans_nec_noncore_system_borrower_qoq,3,-1.9337295011005864,10.112139780637344,-21.75352347114978,17.886064468948607,65,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_di_loans_nec_noncore_system_borrower_qoq,4,-6.947588427267108,10.31916296729635,-27.173147843167953,13.27797098863374,64,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_di_loans_nec_noncore_system_borrower_qoq,5,-7.140359266446117,11.391619422975753,-29.46793333547859,15.18721480258636,63,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_di_loans_nec_noncore_system_borrower_qoq,6,-7.0663278458788525,12.136689052440303,-30.854238388661848,16.721582696904143,62,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_di_loans_nec_noncore_system_borrower_qoq,7,-4.831936896707747,12.155936156544767,-28.657571763535486,18.993697970119996,61,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_di_loans_nec_noncore_system_borrower_qoq,8,-8.140289340365825,11.550817869167771,-30.779892363934657,14.499313683203006,60,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_loan_core_min_qoq,0,-20.959164939095665,3.154984044707311,-27.142933666721994,-14.775396211469335,68,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
strict_loan_core_min_qoq,1,-23.68311505374398,8.159767418916271,-39.67625919481987,-7.6899709126680875,67,strict_identifiable_refresh,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
