treatment_variant,treatment_role,treatment_family,outcome,horizon,beta,se,lower95,upper95,n,spec_name,shock_column,shock_scale,response_type
baseline,core,headline,checkable_private_domestic_bank_qoq,2,8.925123559105716,15.802465168885275,-22.04770817190942,39.897955290120855,117,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,checkable_private_domestic_bank_qoq,3,37.548136104514256,28.552358934521955,-18.414487407148776,93.5107596161773,116,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,checkable_private_domestic_bank_qoq,4,44.53239740623772,36.280191930073954,-26.57677877670723,115.64157358918267,115,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,checkable_private_domestic_bank_qoq,5,46.65892654703605,42.31730069905956,-36.28298282312068,129.6008359171928,114,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,checkable_private_domestic_bank_qoq,6,33.40343095603477,46.88816150869185,-58.49736560100126,125.3042275130708,113,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,checkable_private_domestic_bank_qoq,7,46.912718829887886,50.390973635173296,-51.85358949505177,145.67902715482754,112,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,checkable_private_domestic_bank_qoq,8,39.8439644612573,52.76193371284508,-63.569425615919045,143.25735453843365,111,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,interbank_transactions_foreign_banks_liability_qoq,0,3.237922716937733,2.307539788830325,-1.2848552691697033,7.760700703045169,119,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,interbank_transactions_foreign_banks_liability_qoq,1,3.6259737353508674,2.370490398419138,-1.0201874455506426,8.272134916252377,118,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,interbank_transactions_foreign_banks_liability_qoq,2,3.765617092034851,3.141668085607983,-2.3920523557567956,9.923286539826497,117,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,interbank_transactions_foreign_banks_liability_qoq,3,6.034880843371644,4.153542564077586,-2.1060625822204244,14.175824268963712,116,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,interbank_transactions_foreign_banks_liability_qoq,4,6.78241667723955,4.408566201053148,-1.858373076824619,15.423206431303718,115,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,interbank_transactions_foreign_banks_liability_qoq,5,4.82527958567946,5.3461548870922115,-5.653183993021275,15.303743164380194,114,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,interbank_transactions_foreign_banks_liability_qoq,6,5.194011793799723,5.255408427172257,-5.106588723457899,15.494612311057345,113,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
baseline,core,headline,interbank_transactions_foreign_banks_liability_qoq,7,5.843563856312519,5.615812160965584,-5.163427979180025,16.850555691805063,112,sensitivity,tdc_residual_z,rolling_oos_standard_deviation,cumulative_sum_h0_to_h
